,color,id,male,species,name,breeds,mix,groups,FSS,Working Group,Terrier Group,Herding Group,Sporting Group,Hound Group,Non-Sporting Group,Toy Group,Bully Breed,Hound
3417,Black/White,A672076,0.0,Dog,Matilda,['Boxer'],False,['Working Group'],0,1,0,0,0,0,0,0,0,0
3418,Black/White,A507614,1.0,Dog,Madaket,['Labrador Retriever'],False,['Sporting Group'],0,0,0,0,1,0,0,0,0,0
3419,Blue/White,A672082,0.0,Dog,Lola,['Pit Bull'],False,['Bully Breed'],0,0,0,0,0,0,0,0,1,0
3420,White/Brown Brindle,A672084,0.0,Dog,Luz,"['Australian Shepherd', 'Labrador Retriever']",True,"['Herding Group', 'Sporting Group']",0,0,0,1,1,0,0,0,0,0
3421,Red,A672088,0.0,Dog,Nala,"['Labrador Retriever', 'German Shepherd']",True,"['Herding Group', 'Sporting Group']",0,0,0,1,1,0,0,0,0,0
3422,Tricolor,A672090,1.0,Dog,Jumbo,['Anatol Shepherd'],False,['Working Group'],0,1,0,0,0,0,0,0,0,0
3423,Chocolate/White,A672091,0.0,Dog,None,"['Border Collie', 'Labrador Retriever']",True,"['Herding Group', 'Sporting Group']",0,0,0,1,1,0,0,0,0,0
3424,White/Tan,A672102,0.0,Dog,None,"['Chihuahua Shorthair', 'Dachshund']",True,"['Hound Group', 'Toy Group']",0,0,0,0,0,1,0,1,0,1
3425,White/Brown,A671560,1.0,Dog,Gus,['Pointer'],False,['Sporting Group'],0,0,0,0,1,0,0,0,0,0
3426,White/Gray,A672104,0.0,Dog,Abby,['Shih Tzu'],False,['Toy Group'],0,0,0,0,0,0,0,1,0,0
3427,Brown Brindle/White,A672109,1.0,Dog,Goofy,['Pit Bull'],False,['Bully Breed'],0,0,0,0,0,0,0,0,1,0
3428,Red,A672110,1.0,Dog,Toby,['Dachshund'],False,['Hound Group'],0,0,0,0,0,1,0,0,0,1
3429,Tricolor,A672111,1.0,Dog,Austin,['Jack Russell Terrier'],False,['Terrier Group'],0,0,1,0,0,0,0,0,0,0
3430,White,A603949,0.0,Dog,Millie,['Chihuahua Shorthair'],False,['Toy Group'],0,0,0,0,0,0,0,1,0,0
3431,White,A603952,1.0,Dog,Maximiliano,['Chihuahua Shorthair'],False,['Toy Group'],0,0,0,0,0,0,0,1,0,0
3432,Red/White,A672105,1.0,Dog,Blue Jeans,['Basset Hound'],False,['Hound Group'],0,0,0,0,0,1,0,0,0,1
3433,Black,A672117,1.0,Dog,Bastian,"['Labrador Retriever', 'Rottweiler']",True,"['Sporting Group', 'Working Group']",0,1,0,0,1,0,0,0,0,0
3434,Black,A672118,0.0,Dog,None,"['Border Collie', 'Labrador Retriever']",True,"['Herding Group', 'Sporting Group']",0,0,0,1,1,0,0,0,0,0
3435,Red/White,A672142,1.0,Dog,Toby,['Pekingese'],False,['Toy Group'],0,0,0,0,0,0,0,1,0,0
3436,White/Blue,A672121,1.0,Dog,Moe,"['Pit Bull', 'Australian Cattle Dog']",True,"['Bully Breed', 'Herding Group']",0,0,0,1,0,0,0,0,1,0
3437,White/Black Brindle,A672124,1.0,Dog,Tony,['Pit Bull'],False,['Bully Breed'],0,0,0,0,0,0,0,0,1,0
3438,Black/Brown,A672131,1.0,Dog,Kona,"['Miniature Pinscher', 'Chihuahua Shorthair']",True,['Toy Group'],0,0,0,0,0,0,0,1,0,0
3439,Tricolor,A672143,0.0,Dog,None,['St. Bernard Smooth Coat'],False,['Working Group'],0,1,0,0,0,0,0,0,0,0
3440,Tan,A672144,1.0,Dog,None,['Dachshund Longhair'],False,['Hound Group'],0,0,0,0,0,1,0,0,0,1
3441,Brown Brindle/White,A672145,0.0,Dog,Lola,['Pit Bull'],False,['Bully Breed'],0,0,0,0,0,0,0,0,1,0
3442,Red/White,A672146,1.0,Dog,Red,['Pit Bull'],False,['Bully Breed'],0,0,0,0,0,0,0,0,1,0
3443,Brown/White,A672147,0.0,Dog,Greta,['Pit Bull'],False,['Bully Breed'],0,0,0,0,0,0,0,0,1,0
3444,Tan/White,A672163,1.0,Dog,Tito,['Pembroke Welsh Corgi'],False,['Terrier Group'],0,0,1,0,0,0,0,0,0,0
3445,Gray/Tan,A672164,0.0,Dog,Molly,['Yorkshire Terrier'],False,['Toy Group'],0,0,0,0,0,0,0,1,0,0
3446,Chocolate/White,A672165,1.0,Dog,Romeo,['Yorkshire Terrier'],False,['Toy Group'],0,0,0,0,0,0,0,1,0,0
3447,Tan,A672166,1.0,Dog,Baxter,['Yorkshire Terrier'],False,['Toy Group'],0,0,0,0,0,0,0,1,0,0
3448,Brown/White,A672167,0.0,Dog,Rosie,['Yorkshire Terrier'],False,['Toy Group'],0,0,0,0,0,0,0,1,0,0
3449,Black/White,A672168,0.0,Dog,Cherry,['Yorkshire Terrier'],False,['Toy Group'],0,0,0,0,0,0,0,1,0,0
3450,Tricolor,A672169,1.0,Dog,Happy,['Yorkshire Terrier'],False,['Toy Group'],0,0,0,0,0,0,0,1,0,0
3451,Black/Tan,A672172,0.0,Dog,None,['German Shepherd'],False,['Herding Group'],0,0,0,1,0,0,0,0,0,0
3452,Black/Tan,A672174,0.0,Dog,Star,['German Shepherd'],False,['Herding Group'],0,0,0,1,0,0,0,0,0,0
3453,Black/White,A672175,0.0,Dog,None,['German Shepherd'],False,['Herding Group'],0,0,0,1,0,0,0,0,0,0
3454,Black/White,A672171,0.0,Dog,Billie Jean,['Labrador Retriever'],False,['Sporting Group'],0,0,0,0,1,0,0,0,0,0
3455,Yellow/White,A672176,0.0,Dog,None,"['Siberian Husky', 'Cardigan Welsh Corgi']",True,"['Terrier Group', 'Working Group']",0,1,1,0,0,0,0,0,0,0
3456,Blue Merle/Brown,A672179,1.0,Dog,Spike,['Catahoula'],False,['FSS'],1,0,0,0,0,0,0,0,0,0
3457,Brown/White,A594102,0.0,Dog,Scarlett,['Staffordshire'],False,['Terrier Group'],0,0,1,0,0,0,0,0,0,0
3458,Black,A672177,1.0,Dog,Winston,['Chihuahua Shorthair'],False,['Toy Group'],0,0,0,0,0,0,0,1,0,0
3459,White/Brown,A672180,1.0,Dog,None,"['Collie Rough', 'Australian Shepherd']",True,['Herding Group'],0,0,0,1,0,0,0,0,0,0
3460,White/Black,A672189,1.0,Dog,Julius,"['Australian Cattle Dog', 'Pointer']",True,"['Herding Group', 'Sporting Group']",0,0,0,1,1,0,0,0,0,0
3461,Blue/Tricolor,A672188,0.0,Dog,Avery,['Blue Lacy'],False,[nan],0,0,0,0,0,0,0,0,0,0
3462,Brown/Black,A671293,1.0,Dog,Pedro,"['Chow Chow', 'Labrador Retriever']",True,"['Non-Sporting Group', 'Sporting Group']",0,0,0,0,1,0,1,0,0,0
3463,Red/White,A672183,0.0,Dog,Mika,"['Chihuahua Shorthair', 'Jack Russell Terrier']",True,"['Terrier Group', 'Toy Group']",0,0,1,0,0,0,0,1,0,0
3464,Tan/White,A672184,0.0,Dog,Bella,"['Chihuahua Shorthair', 'Jack Russell Terrier']",True,"['Terrier Group', 'Toy Group']",0,0,1,0,0,0,0,1,0,0
3465,Tan,A672185,0.0,Dog,Babs,"['Chihuahua Shorthair', 'Jack Russell Terrier']",True,"['Terrier Group', 'Toy Group']",0,0,1,0,0,0,0,1,0,0
3466,Fawn/Blue,A672186,0.0,Dog,Faye,['Chihuahua Shorthair'],False,['Toy Group'],0,0,0,0,0,0,0,1,0,0
3467,Silver,A672187,0.0,Dog,Gracie,['Miniature Schnauzer'],False,['Terrier Group'],0,0,1,0,0,0,0,0,0,0
3468,Red/White,A672198,1.0,Dog,Teddy,['Pit Bull'],False,['Bully Breed'],0,0,0,0,0,0,0,0,1,0
3469,Black/White,A672150,0.0,Dog,Daisy,['Chihuahua Shorthair'],False,['Toy Group'],0,0,0,0,0,0,0,1,0,0
3470,Brown Brindle/White,A672204,1.0,Dog,Zeus,['Pit Bull'],False,['Bully Breed'],0,0,0,0,0,0,0,0,1,0
3471,Black/White,A672202,0.0,Dog,Belle,['Pit Bull'],False,['Bully Breed'],0,0,0,0,0,0,0,0,1,0
3472,Yellow/White,A672207,0.0,Dog,None,['Pointer'],False,['Sporting Group'],0,0,0,0,1,0,0,0,0,0
3473,Tan,A672209,0.0,Dog,None,['Cairn Terrier'],False,['Terrier Group'],0,0,1,0,0,0,0,0,0,0
3474,Black/Tan,A672210,0.0,Dog,Cochise,['Rottweiler'],False,['Working Group'],0,1,0,0,0,0,0,0,0,0
3475,Red Merle/White,A672072,0.0,Dog,Lizzie,['Queensland Heeler'],False,['Herding Group'],0,0,0,1,0,0,0,0,0,0
3476,Tan/White,A672213,1.0,Dog,Frank,"['English Bulldog', 'Cairn Terrier']",True,"['Non-Sporting Group', 'Terrier Group']",0,0,1,0,1,0,1,0,0,0
3477,White/Black,A672214,0.0,Dog,None,"['Labrador Retriever', 'Border Collie']",True,"['Herding Group', 'Sporting Group']",0,0,0,1,1,0,0,0,0,0
3478,Black/Tan,A672216,1.0,Dog,Rambo,['Doberman Pinsch'],False,['Working Group'],0,1,0,0,0,0,0,0,0,0
3479,Red,A672217,1.0,Dog,None,['Chihuahua Shorthair'],False,['Toy Group'],0,0,0,0,0,0,0,1,0,0
3480,Black/White,A641514,0.0,Dog,Bella,['Siberian Husky'],False,['Working Group'],0,1,0,0,0,0,0,0,0,0
3481,Tricolor,A672228,0.0,Dog,Winnie,['Border Collie'],False,['Herding Group'],0,0,0,1,0,0,0,0,0,0
3482,Buff,A672230,1.0,Dog,Lil Dude,"['Norwich Terrier', 'Pug']",True,"['Terrier Group', 'Toy Group']",0,0,1,0,0,0,0,1,0,0
3483,Tan/White,A558438,0.0,Dog,Sasha,['Chinese Sharpei'],False,['Non-Sporting Group'],0,0,0,0,1,0,1,0,0,0
3484,Black/Tan,A672231,0.0,Dog,None,['German Shepherd'],False,['Herding Group'],0,0,0,1,0,0,0,0,0,0
3485,Tan,A672239,1.0,Dog,Spartacus,['Chihuahua Shorthair'],False,['Toy Group'],0,0,0,0,0,0,0,1,0,0
3486,Black/Tan,A672233,0.0,Dog,Raven,['Beauceron'],False,['Herding Group'],0,0,0,1,0,0,0,0,0,0
3487,Blue Merle/White,A672234,1.0,Dog,Huckleberry,"['Boxer', 'Catahoula']",True,"['FSS', 'Working Group']",1,1,0,0,0,0,0,0,0,0
3488,White/Brown Brindle,A672235,0.0,Dog,Freyja,"['Boxer', 'Catahoula']",True,"['FSS', 'Working Group']",1,1,0,0,0,0,0,0,0,0
3489,Brown Brindle/White,A672236,1.0,Dog,Dude,"['Boxer', 'Catahoula']",True,"['FSS', 'Working Group']",1,1,0,0,0,0,0,0,0,0
3490,Red/White,A672237,0.0,Dog,Tina,"['Boxer', 'Catahoula']",True,"['FSS', 'Working Group']",1,1,0,0,0,0,0,0,0,0
3491,Tan/White,A672238,1.0,Dog,Roscoe,"['Boxer', 'Catahoula']",True,"['FSS', 'Working Group']",1,1,0,0,0,0,0,0,0,0
3492,Red/White,A672240,1.0,Dog,None,['Dachshund'],False,['Hound Group'],0,0,0,0,0,1,0,0,0,1
3493,White,A672241,1.0,Dog,Sly,['Dogo Argentino'],False,['FSS (Miscellaneous)'],1,0,0,0,0,0,0,0,0,0
3494,White,A672247,1.0,Dog,Charlie,"['Maltese', 'Miniature Poodle']",True,"['Non-Sporting Group', 'Toy Group']",0,0,0,0,1,0,1,1,0,0
3495,Black/White,A672248,0.0,Dog,Mandy,['Flat Coat Retriever'],False,['Sporting Group'],0,0,0,0,1,0,0,0,0,0
3496,Fawn/White,A672249,1.0,Dog,Vaughn,['Pit Bull'],False,['Bully Breed'],0,0,0,0,0,0,0,0,1,0
3497,Black/White,A672254,1.0,Dog,None,"['Boxer', 'Great Dane']",True,['Working Group'],0,1,0,0,0,0,0,0,0,0
3498,Black/White,A671805,0.0,Dog,Dosha,['Pit Bull'],False,['Bully Breed'],0,0,0,0,0,0,0,0,1,0
3499,Red,A672256,0.0,Dog,None,['Dachshund'],False,['Hound Group'],0,0,0,0,0,1,0,0,0,1
3500,Black/Tan,A672257,0.0,Dog,Gracie,['Chihuahua Shorthair'],False,['Toy Group'],0,0,0,0,0,0,0,1,0,0
3501,White,A664051,0.0,Dog,Harmony,['Labrador Retriever'],False,['Sporting Group'],0,0,0,0,1,0,0,0,0,0
3502,Blue/White,A672258,0.0,Dog,Lola,['Pit Bull'],False,['Bully Breed'],0,0,0,0,0,0,0,0,1,0
3503,Gray/White,A634273,1.0,Dog,Temple,['Shih Tzu'],False,['Toy Group'],0,0,0,0,0,0,0,1,0,0
3504,Black,A672261,1.0,Dog,Stardust,['Pomeranian'],False,['Toy Group'],0,0,0,0,0,0,0,1,0,0
3505,White/Tan,A672263,0.0,Dog,Daisy,"['Chihuahua Shorthair', 'Rat Terrier']",True,"['Terrier Group', 'Toy Group']",0,0,1,0,0,0,0,1,0,0
3506,Buff,A672264,0.0,Dog,Aster,['Golden Retriever'],False,['Sporting Group'],0,0,0,0,1,0,0,0,0,0
3507,Tan/White,A672265,0.0,Dog,None,['Golden Retriever'],False,['Sporting Group'],0,0,0,0,1,0,0,0,0,0
3508,Brown Brindle/White,A672267,0.0,Dog,Penny,['Pit Bull'],False,['Bully Breed'],0,0,0,0,0,0,0,0,1,0
3509,Blue/White,A560544,1.0,Dog,Kb,['Pit Bull'],False,['Bully Breed'],0,0,0,0,0,0,0,0,1,0
3510,White/Tan,A672269,0.0,Dog,Caliopy,['Jack Russell Terrier'],False,['Terrier Group'],0,0,1,0,0,0,0,0,0,0
3511,Brown,A672271,1.0,Dog,None,['Chow Chow'],False,['Non-Sporting Group'],0,0,0,0,1,0,1,0,0,0
3512,Brown,A672272,1.0,Dog,Kiss,['Jack Russell Terrier'],False,['Terrier Group'],0,0,1,0,0,0,0,0,0,0
3513,Chocolate/White,A671637,0.0,Dog,Olive Hoover,"['Australian Cattle Dog', 'Labrador Retriever']",True,"['Herding Group', 'Sporting Group']",0,0,0,1,1,0,0,0,0,0
3514,Black/Brown,A672285,0.0,Dog,None,['Beauceron'],False,['Herding Group'],0,0,0,1,0,0,0,0,0,0
3515,Blue/White,A672296,1.0,Dog,Napoleon,['Pit Bull'],False,['Bully Breed'],0,0,0,0,0,0,0,0,1,0
3516,Tan/White,A606646,0.0,Dog,Merry,['English Bulldog'],False,['Non-Sporting Group'],0,0,0,0,1,0,1,0,0,0
3517,White/Black,A632022,0.0,Dog,Dolly,['Rat Terrier'],False,['Terrier Group'],0,0,1,0,0,0,0,0,0,0
3518,Sable,A672299,0.0,Dog,Izzy,"['German Shepherd', 'Labrador Retriever']",True,"['Herding Group', 'Sporting Group']",0,0,0,1,1,0,0,0,0,0
3519,Red,A672245,1.0,Dog,None,"['Chow Chow', 'Golden Retriever']",True,"['Non-Sporting Group', 'Sporting Group']",0,0,0,0,1,0,1,0,0,0
3520,Black/White,A672308,0.0,Dog,Layla,['Border Collie'],False,['Herding Group'],0,0,0,1,0,0,0,0,0,0
3521,Black,A672313,1.0,Dog,Biggie,['Labrador Retriever'],False,['Sporting Group'],0,0,0,0,1,0,0,0,0,0
3522,Black/Tan,A672315,0.0,Dog,None,['Dachshund'],False,['Hound Group'],0,0,0,0,0,1,0,0,0,1
3523,Black/White,A635339,1.0,Dog,None,['Rat Terrier'],False,['Terrier Group'],0,0,1,0,0,0,0,0,0,0
3524,White/Brown,A672317,0.0,Dog,Mindy,['Pit Bull'],False,['Bully Breed'],0,0,0,0,0,0,0,0,1,0
3525,Black/White,A648872,1.0,Dog,Beckham,['Bullmastiff'],False,['Working Group'],0,1,0,0,0,0,0,0,0,0
3526,Tricolor,A672323,1.0,Dog,Dante,['Beagle'],False,['Hound Group'],0,0,0,0,0,1,0,0,0,1
3527,Black,A672324,0.0,Dog,None,['Labrador Retriever'],False,['Sporting Group'],0,0,0,0,1,0,0,0,0,0
3528,Black/Tan,A672325,1.0,Dog,Bullet,['German Shepherd'],False,['Herding Group'],0,0,0,1,0,0,0,0,0,0
3529,Tan,A672326,1.0,Dog,Jj,['Pit Bull'],False,['Bully Breed'],0,0,0,0,0,0,0,0,1,0
3530,Black/Tan,A672335,1.0,Dog,Max,['Chihuahua Shorthair'],False,['Toy Group'],0,0,0,0,0,0,0,1,0,0
3531,White,A672327,0.0,Dog,Scarlett,['Miniature Poodle'],False,['Non-Sporting Group'],0,0,0,0,1,0,1,0,0,0
3532,Black,A672329,0.0,Dog,Zeda,['Labrador Retriever'],False,['Sporting Group'],0,0,0,0,1,0,0,0,0,0
3533,White/Brown,A672333,1.0,Dog,Matt,['Carolina Dog'],False,[nan],0,0,0,0,0,0,0,0,0,0
3534,Black,A672337,1.0,Dog,Jasper,"['Labrador Retriever', 'Standard Poodle']",True,"['Non-Sporting Group', 'Sporting Group']",0,0,0,0,1,0,1,0,0,0
3535,Black/Brown,A672321,1.0,Dog,Debo,['Miniature Pinscher'],False,['Toy Group'],0,0,0,0,0,0,0,1,0,0
3536,Black/Tan,A672339,1.0,Dog,Nacho,['Australian Kelpie'],False,['Working Group'],0,1,0,0,0,0,0,0,0,0
3537,Black/White,A672341,0.0,Dog,Mischief,['Border Collie'],False,['Herding Group'],0,0,0,1,0,0,0,0,0,0
3538,White/Tan,A672343,0.0,Dog,None,"['Maltese', 'Miniature Poodle']",True,"['Non-Sporting Group', 'Toy Group']",0,0,0,0,1,0,1,1,0,0
3539,Brown Brindle/White,A672348,1.0,Dog,Tiger,['American Staffordshire Terrier'],False,['Terrier Group'],0,0,1,0,0,0,0,0,0,0
3540,Tan/White,A672346,0.0,Dog,Hope,['Pit Bull'],False,['Bully Breed'],0,0,0,0,0,0,0,0,1,0
3541,Brown/White,A672345,0.0,Dog,Luna,['Pit Bull'],False,['Bully Breed'],0,0,0,0,0,0,0,0,1,0
3542,Brown Brindle/White,A672347,1.0,Dog,Ransom,['Pit Bull'],False,['Bully Breed'],0,0,0,0,0,0,0,0,1,0
3543,Black/White,A672352,1.0,Dog,Jack Black,['Australian Cattle Dog'],False,['Herding Group'],0,0,0,1,0,0,0,0,0,0
3544,Tan,A672368,0.0,Dog,Abby,"['Chihuahua Shorthair', 'Dachshund']",True,"['Hound Group', 'Toy Group']",0,0,0,0,0,1,0,1,0,1
3545,Red,A672357,0.0,Dog,Princess,['Carolina Dog'],False,[nan],0,0,0,0,0,0,0,0,0,0
3546,Black,A672372,1.0,Dog,Teddy,['Chow Chow'],False,['Non-Sporting Group'],0,0,0,0,1,0,1,0,0,0
3547,White/Liver,A672128,1.0,Dog,Bentley,['Welsh Springer Spaniel'],False,['Sporting Group'],0,0,0,0,1,0,0,0,0,0
3548,Brown/White,A672374,0.0,Dog,Teri,['Dachshund'],False,['Hound Group'],0,0,0,0,0,1,0,0,0,1
3549,White/Blue Cream,A672383,1.0,Dog,Yayo,"['Pit Bull', 'Chinese Sharpei']",True,"['Bully Breed', 'Non-Sporting Group']",0,0,0,0,1,0,1,0,1,0
3550,Tan/White,A672384,0.0,Dog,None,['Chihuahua Shorthair'],False,['Toy Group'],0,0,0,0,0,0,0,1,0,0
3551,Black/Tan,A672385,0.0,Dog,Stella,['German Shepherd'],False,['Herding Group'],0,0,0,1,0,0,0,0,0,0
3552,Black/Tan,A670722,1.0,Dog,Robin,['German Shepherd'],False,['Herding Group'],0,0,0,1,0,0,0,0,0,0
3553,Tan/White,A672389,1.0,Dog,Leelo,['Chihuahua Shorthair'],False,['Toy Group'],0,0,0,0,0,0,0,1,0,0
3554,Gray,A672391,1.0,Dog,Rocky,['Miniature Schnauzer'],False,['Terrier Group'],0,0,1,0,0,0,0,0,0,0
3555,Gray/White,A672393,1.0,Dog,Charlie,"['Miniature Schnauzer', 'Chihuahua Shorthair']",True,"['Terrier Group', 'Toy Group']",0,0,1,0,0,0,0,1,0,0
3556,Black/Tan,A672394,1.0,Dog,Quin,['German Shepherd'],False,['Herding Group'],0,0,0,1,0,0,0,0,0,0
3557,Red/White,A672395,1.0,Dog,Hank,"['Boxer', 'Chow Chow']",True,"['Non-Sporting Group', 'Working Group']",0,1,0,0,1,0,1,0,0,0
3558,White/Red,A672396,0.0,Dog,Snuggles,['Basset Hound'],False,['Hound Group'],0,0,0,0,0,1,0,0,0,1
3559,Red,A672397,1.0,Dog,Zilkie,['Shiba Inu'],False,['Non-Sporting Group'],0,0,0,0,1,0,1,0,0,0
3560,Red/White,A672401,1.0,Dog,Ziegen,['Siberian Husky'],False,['Working Group'],0,1,0,0,0,0,0,0,0,0
3561,White,A672400,1.0,Dog,None,"['Yorkshire Terrier', 'Maltese']",True,['Toy Group'],0,0,0,0,0,0,0,1,0,0
3562,White/Tan,A672398,1.0,Dog,Oliver,['Pit Bull'],False,['Bully Breed'],0,0,0,0,0,0,0,0,1,0
3563,Brown/White,A593510,0.0,Dog,Mango,['Boxer'],False,['Working Group'],0,1,0,0,0,0,0,0,0,0
3564,White/Blue,A672403,1.0,Dog,Lolo,['Soft Coated Wheaten Terrier'],False,['Terrier Group'],0,0,1,0,0,0,0,0,0,0
3565,Brown/White,A584553,1.0,Dog,Dorian,"['American Staffordshire Terrier', 'Labrador Retriever']",True,"['Sporting Group', 'Terrier Group']",0,0,1,0,1,0,0,0,0,0
3566,Tricolor/White,A672407,0.0,Dog,Blue,['Pointer'],False,['Sporting Group'],0,0,0,0,1,0,0,0,0,0
3567,Red/White,A672409,1.0,Dog,Bruce,['Pit Bull'],False,['Bully Breed'],0,0,0,0,0,0,0,0,1,0
3568,Tricolor,A672410,1.0,Dog,Myles,['Beagle'],False,['Hound Group'],0,0,0,0,0,1,0,0,0,1
3569,Black,A672411,0.0,Dog,Glory,['Labrador Retriever'],False,['Sporting Group'],0,0,0,0,1,0,0,0,0,0
3570,White/Brown,A662329,1.0,Dog,Dexter,"['Pit Bull', 'Catahoula']",True,"['Bully Breed', 'FSS']",1,0,0,0,0,0,0,0,1,0
3571,Tricolor,A672416,0.0,Dog,Bernie,['Bernese Mountain Dog'],False,['Working Group'],0,1,0,0,0,0,0,0,0,0
3572,Tan/Black,A672420,1.0,Dog,Jackson,['German Shepherd'],False,['Herding Group'],0,0,0,1,0,0,0,0,0,0
3573,Tan/White,A672422,1.0,Dog,Noah,"['Siberian Husky', 'Pit Bull']",True,"['Bully Breed', 'Working Group']",0,1,0,0,0,0,0,0,1,0
3574,Red,A672423,0.0,Dog,Valentine,['Collie Rough'],False,['Herding Group'],0,0,0,1,0,0,0,0,0,0
3575,White,A672434,0.0,Dog,Nina,['Miniature Poodle'],False,['Non-Sporting Group'],0,0,0,0,1,0,1,0,0,0
3576,Black/White,A672435,1.0,Dog,Bosley,"['Labrador Retriever', 'Staffordshire']",True,"['Sporting Group', 'Terrier Group']",0,0,1,0,1,0,0,0,0,0
3577,Black/White,A672436,0.0,Dog,Zoey,['Labrador Retriever'],False,['Sporting Group'],0,0,0,0,1,0,0,0,0,0
3578,Black/White,A672437,0.0,Dog,Midnight,['American Pit Bull Terrier'],False,['Bully Breed'],0,0,0,0,0,0,0,0,1,0
3579,Black/White,A672438,0.0,Dog,None,['Labrador Retriever'],False,['Sporting Group'],0,0,0,0,1,0,0,0,0,0
3580,Blue/White,A672439,1.0,Dog,None,['Pit Bull'],False,['Bully Breed'],0,0,0,0,0,0,0,0,1,0
3581,Fawn/White,A672441,0.0,Dog,None,['Pit Bull'],False,['Bully Breed'],0,0,0,0,0,0,0,0,1,0
3582,Blue Merle/Tan,A672443,0.0,Dog,Maggie,['Rat Terrier'],False,['Terrier Group'],0,0,1,0,0,0,0,0,0,0
3583,Red/Black,A672444,1.0,Dog,Rusty,['Dachshund'],False,['Hound Group'],0,0,0,0,0,1,0,0,0,1
3584,Blue Merle,A672447,0.0,Dog,Molly,['Australian Cattle Dog'],False,['Herding Group'],0,0,0,1,0,0,0,0,0,0
3585,Red Merle,A672446,0.0,Dog,None,"['Australian Cattle Dog', 'Labrador Retriever']",True,"['Herding Group', 'Sporting Group']",0,0,0,1,1,0,0,0,0,0
3586,Black/White,A672449,1.0,Dog,None,['Labrador Retriever'],False,['Sporting Group'],0,0,0,0,1,0,0,0,0,0
3587,Black/Tan,A672450,1.0,Dog,None,['Picardy Sheepdog'],False,[nan],0,0,0,0,0,0,0,0,0,0
3588,Black/Tan,A672451,1.0,Dog,Delgado,['German Shepherd'],False,['Herding Group'],0,0,0,1,0,0,0,0,0,0
3589,White/Brown,A672454,1.0,Dog,Petey,['American Bulldog'],False,['Bully Breed'],0,0,0,0,0,0,0,0,1,0
3590,Tan/White,A633632,0.0,Dog,Munecca Meoe,['Chihuahua Longhair'],False,['Toy Group'],0,0,0,0,0,0,0,1,0,0
3591,Black,A633633,1.0,Dog,Ben,['Feist'],False,['Non-Sporting Group'],0,0,0,0,1,0,1,0,0,0
3592,White,A672455,1.0,Dog,None,['Tibetan Terrier'],False,['Non-Sporting Group'],0,0,0,0,1,0,1,0,0,0
3593,Black/White,A672457,0.0,Dog,Buca,"['Border Collie', 'Labrador Retriever']",True,"['Herding Group', 'Sporting Group']",0,0,0,1,1,0,0,0,0,0
3594,Black/White,A672459,1.0,Dog,Spudz,['Bull Terrier'],False,['Terrier Group'],0,0,1,0,0,0,0,0,0,0
3595,White/Tan,A672463,0.0,Dog,Stella 4,['Shih Tzu'],False,['Toy Group'],0,0,0,0,0,0,0,1,0,0
3596,Brown/White,A672466,0.0,Dog,Tella,['English Bulldog'],False,['Non-Sporting Group'],0,0,0,0,1,0,1,0,0,0
3597,Fawn/White,A672467,1.0,Dog,Apollo,"['Cardigan Welsh Corgi', 'Cardigan Welsh Corgi']",True,['Terrier Group'],0,0,1,0,0,0,0,0,0,0
3598,Black/Brown,A672468,1.0,Dog,Reed,"['Labrador Retriever', 'Flat Coat Retriever']",True,['Sporting Group'],0,0,0,0,1,0,0,0,0,0
3599,Tan/Black,A672469,0.0,Dog,None,['Chihuahua Shorthair'],False,['Toy Group'],0,0,0,0,0,0,0,1,0,0
3600,Tan/Black,A672470,1.0,Dog,Choko,"['Pit Bull', 'Chihuahua Shorthair']",True,"['Bully Breed', 'Toy Group']",0,0,0,0,0,0,0,1,1,0
3601,White/Liver,A672474,1.0,Dog,Pinto,['Chihuahua Shorthair'],False,['Toy Group'],0,0,0,0,0,0,0,1,0,0
3602,Tan,A672475,1.0,Dog,Shatu,['Cairn Terrier'],False,['Terrier Group'],0,0,1,0,0,0,0,0,0,0
3603,Tricolor,A672481,1.0,Dog,Sochi,['Beagle'],False,['Hound Group'],0,0,0,0,0,1,0,0,0,1
3604,Tan/White,A672483,1.0,Dog,Bones,['Pit Bull'],False,['Bully Breed'],0,0,0,0,0,0,0,0,1,0
3605,White/Tan,A672485,1.0,Dog,None,['Rat Terrier'],False,['Terrier Group'],0,0,1,0,0,0,0,0,0,0
3606,Brown Brindle,A672488,1.0,Dog,None,['Chihuahua Shorthair'],False,['Toy Group'],0,0,0,0,0,0,0,1,0,0
3607,Yellow,A641881,1.0,Dog,Sonny Boy,['Labrador Retriever'],False,['Sporting Group'],0,0,0,0,1,0,0,0,0,0
3608,Black/White,A672490,1.0,Dog,Rocky,['Miniature Poodle'],False,['Non-Sporting Group'],0,0,0,0,1,0,1,0,0,0
3609,Black/White,A672491,1.0,Dog,Morgan,['Boxer'],False,['Working Group'],0,1,0,0,0,0,0,0,0,0
3610,Tan/White,A672492,1.0,Dog,Ray,"['Pit Bull', 'Boxer']",True,"['Bully Breed', 'Working Group']",0,1,0,0,0,0,0,0,1,0
3611,Black/White,A672497,0.0,Dog,Lady,"['Boxer', 'Labrador Retriever']",True,"['Sporting Group', 'Working Group']",0,1,0,0,1,0,0,0,0,0
3612,Red/Tan,A672500,0.0,Dog,Shaila,['German Shepherd'],False,['Herding Group'],0,0,0,1,0,0,0,0,0,0
3613,Black/White,A672505,1.0,Dog,Blackie,['Pit Bull'],False,['Bully Breed'],0,0,0,0,0,0,0,0,1,0
