,condition_in,intake_type,outcome_detail,outcome_type,breed
439,Injured,Wildlife,Rabies Risk,Euthanasia,Bat Mix
440,Injured,Wildlife,Rabies Risk,Euthanasia,Bat Mix
441,Normal,Stray,Partner,Transfer,Lionhead Mix
442,Sick,Wildlife,Rabies Risk,Euthanasia,Bat Mix
443,Normal,Wildlife,Rabies Risk,Euthanasia,Bat Mix
444,Sick,Wildlife,Rabies Risk,Euthanasia,Bat
445,Sick,Wildlife,Rabies Risk,Euthanasia,Bat Mix
446,Injured,Wildlife,None,Disposal,Bat Mix
447,Sick,Wildlife,None,Disposal,Raccoon Mix
448,Normal,Wildlife,Rabies Risk,Euthanasia,Bat Mix
449,Normal,Wildlife,Rabies Risk,Euthanasia,Bat Mix
450,Normal,Wildlife,Rabies Risk,Euthanasia,Bat Mix
451,Normal,Wildlife,Rabies Risk,Euthanasia,Bat Mix
452,Sick,Wildlife,Medical,Euthanasia,Raccoon Mix
453,Normal,Wildlife,Rabies Risk,Euthanasia,Bat Mix
454,Normal,Wildlife,Rabies Risk,Euthanasia,Bat Mix
455,Sick,Wildlife,None,Euthanasia,Raccoon Mix
456,Normal,Wildlife,None,Euthanasia,Bat
457,Normal,Stray,Partner,Transfer,Duck Mix
458,Normal,Stray,Partner,Transfer,Duck Mix
459,Sick,Wildlife,Suffering,Euthanasia,Raccoon
460,Normal,Wildlife,Rabies Risk,Euthanasia,Bat Mix
461,Sick,Wildlife,Suffering,Euthanasia,Skunk Mix
462,Normal,Wildlife,Rabies Risk,Euthanasia,Bat Mix
463,Normal,Wildlife,Rabies Risk,Euthanasia,Bat Mix
464,Sick,Wildlife,None,Disposal,Bat
465,Injured,Wildlife,Rabies Risk,Euthanasia,Raccoon Mix
466,Sick,Wildlife,Rabies Risk,Euthanasia,Raccoon Mix
467,Sick,Wildlife,Suffering,Euthanasia,Raccoon Mix
468,Injured,Wildlife,Suffering,Euthanasia,Skunk
469,Sick,Wildlife,Suffering,Euthanasia,Raccoon
470,Normal,Wildlife,Rabies Risk,Euthanasia,Bat
471,Normal,Wildlife,Rabies Risk,Euthanasia,Bat
472,Normal,Wildlife,Rabies Risk,Euthanasia,Bat
473,Sick,Wildlife,Rabies Risk,Euthanasia,Raccoon Mix
474,Sick,Wildlife,Rabies Risk,Euthanasia,Raccoon Mix
475,Sick,Wildlife,Rabies Risk,Euthanasia,Fox Mix
476,Normal,Wildlife,Rabies Risk,Euthanasia,Bat Mix
477,Normal,Wildlife,Rabies Risk,Euthanasia,Bat Mix
478,Sick,Wildlife,Rabies Risk,Euthanasia,Raccoon
479,Normal,Wildlife,Rabies Risk,Euthanasia,Bat
480,Normal,Wildlife,Rabies Risk,Euthanasia,Bat Mix
481,Injured,Wildlife,Rabies Risk,Euthanasia,Bat Mix
482,Sick,Wildlife,Suffering,Euthanasia,Raccoon Mix
483,Sick,Wildlife,Suffering,Euthanasia,Skunk Mix
484,Sick,Wildlife,None,Euthanasia,Raccoon Mix
485,Normal,Stray,Foster,Adoption,Pig Mix
486,Sick,Wildlife,Rabies Risk,Euthanasia,Bat Mix
487,Sick,Wildlife,Rabies Risk,Euthanasia,Bat Mix
488,Normal,Wildlife,Rabies Risk,Euthanasia,Bat Mix
489,Normal,Wildlife,Rabies Risk,Euthanasia,Bat Mix
490,Sick,Wildlife,Suffering,Euthanasia,Raccoon Mix
491,Normal,Wildlife,Rabies Risk,Euthanasia,Bat Mix
492,Normal,Wildlife,Rabies Risk,Euthanasia,Bat Mix
493,Sick,Wildlife,Medical,Euthanasia,Raccoon Mix
494,Normal,Wildlife,Rabies Risk,Euthanasia,Bat Mix
495,Sick,Wildlife,Suffering,Euthanasia,Raccoon Mix
496,Normal,Stray,Suffering,Euthanasia,Raccoon Mix
497,Normal,Public Assist,Rabies Risk,Euthanasia,Bat Mix
498,Injured,Wildlife,Rabies Risk,Euthanasia,Bat Mix
499,Sick,Wildlife,Rabies Risk,Euthanasia,Bat Mix
500,Sick,Wildlife,Suffering,Euthanasia,Raccoon Mix
501,Normal,Wildlife,Rabies Risk,Euthanasia,Bat Mix
502,Sick,Wildlife,None,Died,Raccoon
503,Normal,Stray,None,Adoption,Ferret Mix
504,Sick,Wildlife,Medical,Euthanasia,Fox Mix
505,Sick,Wildlife,Suffering,Euthanasia,Raccoon Mix
506,Sick,Wildlife,None,Disposal,Bat Mix
507,Injured,Wildlife,None,Disposal,Bat Mix
508,Normal,Wildlife,None,Disposal,Bat Mix
509,Normal,Wildlife,None,Disposal,Bat Mix
510,Injured,Stray,None,Disposal,Opossum Mix
511,Sick,Wildlife,Medical,Euthanasia,Raccoon Mix
512,Normal,Wildlife,Rabies Risk,Euthanasia,Bat Mix
513,Injured,Wildlife,Suffering,Euthanasia,Skunk Mix
514,Normal,Wildlife,Rabies Risk,Euthanasia,Bat Mix
515,Normal,Wildlife,Rabies Risk,Euthanasia,Bat Mix
516,Normal,Wildlife,Rabies Risk,Euthanasia,Bat Mix
517,Normal,Wildlife,Rabies Risk,Euthanasia,Bat
518,Sick,Wildlife,Suffering,Euthanasia,Skunk Mix
519,Sick,Wildlife,Suffering,Euthanasia,Raccoon Mix
520,Sick,Wildlife,Suffering,Euthanasia,Raccoon
521,Sick,Wildlife,Suffering,Euthanasia,Skunk
522,Normal,Wildlife,Rabies Risk,Euthanasia,Bat Mix
523,Normal,Wildlife,Rabies Risk,Euthanasia,Bat
524,Injured,Wildlife,Suffering,Euthanasia,Lark Mix
525,Sick,Wildlife,Suffering,Euthanasia,Raccoon
526,Injured,Wildlife,Suffering,Euthanasia,Skunk
527,Injured,Wildlife,Rabies Risk,Euthanasia,Fox Mix
528,Sick,Wildlife,Rabies Risk,Euthanasia,Raccoon Mix
529,Sick,Wildlife,Medical,Euthanasia,Fox Mix
530,Sick,Wildlife,None,Euthanasia,Raccoon Mix
531,Normal,Stray,Partner,Transfer,Silver Mix
532,Normal,Wildlife,Rabies Risk,Euthanasia,Bat Mix
533,Normal,Wildlife,Rabies Risk,Euthanasia,Bat Mix
534,Injured,Wildlife,Suffering,Euthanasia,Skunk Mix
535,Normal,Wildlife,Rabies Risk,Euthanasia,Bat Mix
536,Sick,Wildlife,None,Disposal,Raccoon Mix
537,Normal,Wildlife,Rabies Risk,Euthanasia,Bat Mix
538,Normal,Wildlife,Rabies Risk,Euthanasia,Bat
539,Normal,Wildlife,Rabies Risk,Euthanasia,Bat Mix
540,Sick,Wildlife,None,Euthanasia,Raccoon
541,Normal,Wildlife,None,Euthanasia,Bat Mix
542,Normal,Wildlife,None,Disposal,Bat Mix
543,Normal,Wildlife,Rabies Risk,Euthanasia,Bat Mix
544,Sick,Wildlife,Rabies Risk,Euthanasia,Raccoon Mix
545,Normal,Wildlife,Partner,Transfer,Rabbit Sh Mix
546,Normal,Wildlife,Partner,Transfer,Rabbit Sh Mix
547,Normal,Wildlife,Partner,Transfer,Rabbit Sh Mix
548,Normal,Wildlife,Rabies Risk,Euthanasia,Bat Mix
549,Normal,Wildlife,Rabies Risk,Euthanasia,Bat Mix
550,Normal,Wildlife,Rabies Risk,Euthanasia,Bat Mix
551,Normal,Owner Surrender,Partner,Transfer,Guinea Pig Mix
552,Sick,Wildlife,Suffering,Euthanasia,Raccoon Mix
553,Sick,Stray,Rabies Risk,Euthanasia,Raccoon Mix
554,Normal,Wildlife,Rabies Risk,Euthanasia,Bat Mix
555,Sick,Wildlife,Rabies Risk,Euthanasia,Fox Mix
556,Injured,Wildlife,Suffering,Euthanasia,Opossum Mix
557,Sick,Wildlife,Rabies Risk,Euthanasia,Skunk
558,Sick,Wildlife,Rabies Risk,Euthanasia,Skunk Mix
559,Injured,Wildlife,Rabies Risk,Euthanasia,Opossum Mix
560,Normal,Wildlife,Rabies Risk,Euthanasia,Bat Mix
561,Normal,Wildlife,Rabies Risk,Euthanasia,Bat Mix
562,Normal,Wildlife,Rabies Risk,Euthanasia,Bat Mix
563,Normal,Wildlife,Rabies Risk,Euthanasia,Bat Mix
564,Normal,Wildlife,Rabies Risk,Euthanasia,Bat
565,Normal,Wildlife,Rabies Risk,Euthanasia,Bat Mix
566,Injured,Wildlife,Suffering,Euthanasia,Raccoon
567,Normal,Wildlife,None,Died,Bat
568,Injured,Wildlife,Rabies Risk,Euthanasia,Bat
569,Sick,Wildlife,Rabies Risk,Euthanasia,Fox Mix
570,Normal,Wildlife,None,Disposal,Bat Mix
571,Normal,Wildlife,None,Disposal,Bat Mix
572,Normal,Wildlife,Rabies Risk,Euthanasia,Bat
573,Injured,Wildlife,Enroute,Died,Opossum Mix
574,Normal,Wildlife,Rabies Risk,Euthanasia,Bat Mix
575,Normal,Wildlife,None,Return to Owner,Tortoise Mix
576,Normal,Stray,None,Return to Owner,Tortoise Mix
577,Sick,Wildlife,Suffering,Euthanasia,Raccoon Mix
578,Sick,Wildlife,Rabies Risk,Euthanasia,Skunk Mix
579,Injured,Wildlife,Suffering,Euthanasia,Squirrel
580,Normal,Wildlife,Rabies Risk,Euthanasia,Bat Mix
581,Normal,Wildlife,Rabies Risk,Euthanasia,Bat
582,Normal,Wildlife,Rabies Risk,Euthanasia,Bat
583,Sick,Wildlife,Suffering,Euthanasia,Raccoon
584,Normal,Wildlife,None,Relocate,Squirrel
585,Normal,Wildlife,Rabies Risk,Euthanasia,Bat Mix
586,Other,Wildlife,Suffering,Euthanasia,Skunk Mix
587,Normal,Wildlife,Rabies Risk,Euthanasia,Bat Mix
588,Sick,Wildlife,Suffering,Euthanasia,Raccoon Mix
589,Injured,Wildlife,Suffering,Euthanasia,Opossum Mix
590,Normal,Wildlife,Rabies Risk,Euthanasia,Bat Mix
591,Normal,Wildlife,Rabies Risk,Euthanasia,Bat Mix
592,Normal,Wildlife,Rabies Risk,Euthanasia,Bat Mix
593,Injured,Wildlife,Suffering,Euthanasia,Opossum Mix
594,Injured,Wildlife,Suffering,Euthanasia,Opossum Mix
595,Sick,Public Assist,None,Died,Raccoon Mix
596,Normal,Wildlife,None,Euthanasia,Bat Mix
597,Normal,Wildlife,Rabies Risk,Euthanasia,Bat Mix
598,Injured,Wildlife,Rabies Risk,Euthanasia,Skunk Mix
599,Sick,Owner Surrender,Partner,Transfer,Rex Mix
600,Normal,Owner Surrender,Partner,Transfer,Guinea Pig
601,Normal,Wildlife,None,Euthanasia,Bat Mix
602,Normal,Wildlife,Rabies Risk,Euthanasia,Bat Mix
603,Normal,Wildlife,None,Disposal,Bat Mix
604,Normal,Wildlife,None,Disposal,Bat Mix
605,Normal,Wildlife,None,Euthanasia,Bat Mix
606,Normal,Wildlife,Rabies Risk,Euthanasia,Bat Mix
607,Injured,Wildlife,Medical,Euthanasia,Opossum Mix
608,Normal,Wildlife,Rabies Risk,Euthanasia,Bat
609,Normal,Wildlife,Rabies Risk,Euthanasia,Bat Mix
610,Normal,Wildlife,Rabies Risk,Euthanasia,Raccoon Mix
611,Sick,Wildlife,Rabies Risk,Euthanasia,Skunk Mix
612,Normal,Wildlife,Rabies Risk,Euthanasia,Bat Mix
613,Normal,Wildlife,Rabies Risk,Euthanasia,Bat Mix
614,Normal,Wildlife,Rabies Risk,Euthanasia,Bat Mix
615,Normal,Wildlife,Rabies Risk,Euthanasia,Bat Mix
616,Sick,Wildlife,Suffering,Euthanasia,Raccoon
617,Injured,Wildlife,Suffering,Euthanasia,Opossum
618,Normal,Wildlife,Rabies Risk,Euthanasia,Bat
619,Injured,Wildlife,Suffering,Euthanasia,Raccoon
620,Sick,Stray,Suffering,Euthanasia,Raccoon Mix
621,Normal,Stray,Rabies Risk,Euthanasia,Bat Mix
622,Normal,Wildlife,None,Disposal,Bat Mix
623,Normal,Wildlife,Rabies Risk,Euthanasia,Bat Mix
624,Normal,Wildlife,Rabies Risk,Euthanasia,Bat Mix
625,Normal,Wildlife,Suffering,Euthanasia,Raccoon
626,Normal,Wildlife,Rabies Risk,Euthanasia,Bat
627,Normal,Wildlife,Rabies Risk,Euthanasia,Bat Mix
628,Normal,Wildlife,Rabies Risk,Euthanasia,Bat Mix
629,Normal,Wildlife,Rabies Risk,Euthanasia,Bat Mix
630,Normal,Wildlife,Rabies Risk,Euthanasia,Bat Mix
631,Injured,Wildlife,Rabies Risk,Euthanasia,Bat
632,Normal,Wildlife,Rabies Risk,Euthanasia,Bat Mix
633,Sick,Wildlife,Suffering,Euthanasia,Raccoon
634,Sick,Wildlife,Suffering,Euthanasia,Opossum Mix
635,Sick,Wildlife,Suffering,Euthanasia,Squirrel Mix
636,Normal,Wildlife,Rabies Risk,Euthanasia,Bat Mix
637,Sick,Wildlife,Rabies Risk,Euthanasia,Skunk
638,Normal,Wildlife,Rabies Risk,Euthanasia,Bat Mix
639,Normal,Wildlife,Rabies Risk,Euthanasia,Bat Mix
640,Normal,Wildlife,Rabies Risk,Euthanasia,Bat Mix
641,Normal,Wildlife,Rabies Risk,Euthanasia,Bat Mix
642,Normal,Wildlife,Rabies Risk,Euthanasia,Bat Mix
643,Normal,Wildlife,Rabies Risk,Euthanasia,Bat
644,Normal,Wildlife,Rabies Risk,Euthanasia,Bat
645,Normal,Wildlife,Rabies Risk,Euthanasia,Bat
646,Normal,Owner Surrender,Foster,Adoption,Sugar Glider
647,Normal,Stray,Partner,Transfer,English Spot Mix
648,Normal,Stray,Partner,Transfer,Rabbit Sh Mix
649,Normal,Stray,Partner,Transfer,Dutch Mix
650,Sick,Wildlife,Rabies Risk,Euthanasia,Raccoon Mix
651,Normal,Wildlife,Rabies Risk,Euthanasia,Bat Mix
652,Normal,Owner Surrender,Partner,Transfer,Rabbit Sh Mix
653,Normal,Wildlife,None,Relocate,Raccoon
654,Injured,Wildlife,Suffering,Euthanasia,Squirrel
655,Injured,Wildlife,None,Disposal,Bat Mix
656,Sick,Wildlife,Rabies Risk,Euthanasia,Raccoon Mix
657,Normal,Wildlife,Rabies Risk,Euthanasia,Bat Mix
658,Sick,Stray,Rabies Risk,Euthanasia,Bat Mix
659,Sick,Wildlife,Rabies Risk,Euthanasia,Raccoon Mix
660,Normal,Stray,Partner,Transfer,Jersey Wooly Mix
661,Normal,Stray,Partner,Transfer,Jersey Wooly Mix
662,Normal,Wildlife,Rabies Risk,Euthanasia,Bat Mix
663,Sick,Wildlife,Suffering,Euthanasia,Raccoon
664,Normal,Owner Surrender,Foster,Adoption,Cockatiel Mix
665,Sick,Wildlife,Rabies Risk,Euthanasia,Raccoon Mix
666,Injured,Stray,In Kennel,Died,Duck Mix
667,Injured,Wildlife,Partner,Transfer,Turtle Mix
668,Normal,Wildlife,Rabies Risk,Euthanasia,Bat
669,Normal,Wildlife,Rabies Risk,Euthanasia,Bat Mix
670,Normal,Wildlife,Rabies Risk,Euthanasia,Bat Mix
671,Normal,Stray,Partner,Transfer,Guinea Pig
672,Normal,Stray,Partner,Transfer,Guinea Pig
673,Normal,Wildlife,Rabies Risk,Euthanasia,Bat
674,Injured,Wildlife,Rabies Risk,Euthanasia,Raccoon
675,Normal,Wildlife,Rabies Risk,Euthanasia,Bat
676,Injured,Wildlife,Suffering,Euthanasia,Raccoon
677,Injured,Wildlife,None,Relocate,Raccoon
678,Injured,Wildlife,Suffering,Euthanasia,Opossum
679,Normal,Wildlife,Rabies Risk,Euthanasia,Bat Mix
680,Normal,Wildlife,Rabies Risk,Euthanasia,Bat Mix
681,Normal,Wildlife,Rabies Risk,Euthanasia,Skunk Mix
682,Sick,Wildlife,Rabies Risk,Euthanasia,Raccoon Mix
683,Normal,Wildlife,Rabies Risk,Euthanasia,Raccoon
684,Sick,Wildlife,Rabies Risk,Euthanasia,Raccoon
685,Injured,Wildlife,Suffering,Euthanasia,Squirrel
686,Sick,Wildlife,Suffering,Euthanasia,Skunk
687,Sick,Wildlife,Rabies Risk,Euthanasia,Bat
688,Sick,Wildlife,Rabies Risk,Euthanasia,Raccoon Mix
689,Sick,Wildlife,Suffering,Euthanasia,Raccoon Mix
690,Normal,Stray,Partner,Transfer,Cottontail Mix
691,Sick,Wildlife,Enroute,Died,Raccoon Mix
692,Injured,Wildlife,Rabies Risk,Euthanasia,Raccoon Mix
693,Normal,Stray,Partner,Transfer,Lionhead Mix
694,Sick,Wildlife,None,Disposal,Bat
695,Sick,Wildlife,None,Disposal,Raccoon
696,Normal,Wildlife,None,Disposal,Bat Mix
697,Injured,Wildlife,Rabies Risk,Euthanasia,Fox Mix
698,Injured,Wildlife,Suffering,Euthanasia,Raccoon Mix
699,Sick,Wildlife,Suffering,Euthanasia,Raccoon Mix
700,Injured,Wildlife,Medical,Euthanasia,Opossum Mix
701,Normal,Stray,Partner,Transfer,Rabbit Sh Mix
702,Normal,Wildlife,Rabies Risk,Euthanasia,Bat Mix
703,Normal,Wildlife,Rabies Risk,Euthanasia,Bat Mix
704,Sick,Wildlife,Rabies Risk,Euthanasia,Bat Mix
705,Sick,Wildlife,Medical,Euthanasia,Raccoon Mix
706,Sick,Wildlife,Rabies Risk,Euthanasia,Fox
707,Sick,Wildlife,Suffering,Euthanasia,Raccoon
708,Injured,Wildlife,Rabies Risk,Euthanasia,Skunk Mix
709,Sick,Wildlife,Rabies Risk,Euthanasia,Raccoon Mix
710,Sick,Wildlife,Suffering,Euthanasia,Raccoon Mix
711,Sick,Wildlife,Suffering,Euthanasia,Raccoon Mix
712,Normal,Wildlife,Rabies Risk,Euthanasia,Bat Mix
713,Normal,Wildlife,Rabies Risk,Euthanasia,Bat Mix
714,Normal,Wildlife,Rabies Risk,Euthanasia,Bat Mix
715,Sick,Wildlife,Rabies Risk,Euthanasia,Fox Mix
716,Sick,Wildlife,Suffering,Euthanasia,Raccoon Mix
717,Normal,Wildlife,Rabies Risk,Euthanasia,Bat
718,Sick,Wildlife,Medical,Euthanasia,Raccoon Mix
719,Injured,Wildlife,None,Relocate,Duck
720,Sick,Wildlife,Rabies Risk,Euthanasia,Bat
721,Injured,Wildlife,Rabies Risk,Euthanasia,Bat Mix
722,Injured,Wildlife,None,Euthanasia,Opossum Mix
723,Injured,Wildlife,Rabies Risk,Euthanasia,Bat Mix
724,Sick,Wildlife,Suffering,Euthanasia,Raccoon Mix
725,Normal,Wildlife,Rabies Risk,Euthanasia,Bat
726,Sick,Wildlife,Rabies Risk,Euthanasia,Raccoon
727,Normal,Public Assist,Rabies Risk,Euthanasia,Bat Mix
728,Normal,Stray,Partner,Transfer,Chicken Mix
729,Normal,Wildlife,None,Disposal,Bat
730,Sick,Wildlife,Rabies Risk,Euthanasia,Raccoon
731,Normal,Stray,Partner,Transfer,Californian Mix
732,Sick,Wildlife,Medical,Euthanasia,Opossum Mix
733,Sick,Wildlife,Rabies Risk,Euthanasia,Skunk Mix
734,Sick,Wildlife,Suffering,Euthanasia,Raccoon
735,Nursing,Wildlife,None,Relocate,Raccoon
736,Normal,Wildlife,None,Disposal,Bat
737,Normal,Wildlife,None,Disposal,Bat
738,Normal,Wildlife,Rabies Risk,Euthanasia,Bat Mix
739,Normal,Stray,Partner,Transfer,Rabbit Sh Mix
740,Normal,Wildlife,None,Disposal,Bat Mix
741,Normal,Wildlife,Rabies Risk,Euthanasia,Bat Mix
742,Normal,Wildlife,Rabies Risk,Euthanasia,Bat Mix
743,Normal,Wildlife,Rabies Risk,Euthanasia,Bat Mix
744,Normal,Wildlife,In Kennel,Died,Bat
745,Sick,Wildlife,Medical,Euthanasia,Raccoon
746,Injured,Stray,Medical,Euthanasia,Opossum Mix
747,Injured,Wildlife,Rabies Risk,Euthanasia,Bat Mix
748,Sick,Wildlife,Rabies Risk,Euthanasia,Raccoon Mix
749,Normal,Wildlife,Rabies Risk,Euthanasia,Bat Mix
750,Normal,Wildlife,Rabies Risk,Euthanasia,Bat Mix
751,Injured,Wildlife,Partner,Transfer,Opossum Mix
752,Sick,Wildlife,Medical,Euthanasia,Raccoon
753,Sick,Wildlife,None,Euthanasia,Skunk Mix
754,Sick,Wildlife,Rabies Risk,Euthanasia,Raccoon Mix
755,Injured,Wildlife,Suffering,Euthanasia,Opossum
756,Sick,Wildlife,Enroute,Died,Fox
757,Injured,Wildlife,Suffering,Euthanasia,Opossum
758,Normal,Wildlife,Rabies Risk,Euthanasia,Bat Mix
759,Injured,Wildlife,None,Relocate,Opossum
760,Sick,Wildlife,Suffering,Euthanasia,Skunk
761,Normal,Stray,Partner,Transfer,Rabbit Sh Mix
762,Normal,Stray,None,Adoption,Bantam Mix
763,Injured,Wildlife,Suffering,Euthanasia,Squirrel
764,Normal,Wildlife,Rabies Risk,Euthanasia,Bat
765,Normal,Wildlife,None,Euthanasia,Bat
766,Normal,Stray,Partner,Transfer,Rabbit Sh Mix
767,Sick,Wildlife,Rabies Risk,Euthanasia,Raccoon Mix
768,Nursing,Wildlife,None,Relocate,Raccoon
769,Injured,Wildlife,Suffering,Euthanasia,Opossum Mix
770,Sick,Wildlife,Suffering,Euthanasia,Raccoon
771,Normal,Stray,None,Adoption,Bantam Mix
772,Normal,Stray,None,Adoption,Bantam Mix
773,Injured,Wildlife,Rabies Risk,Euthanasia,Bat Mix
774,Sick,Wildlife,None,Euthanasia,Raccoon
775,Sick,Wildlife,Rabies Risk,Euthanasia,Raccoon Mix
776,Sick,Wildlife,Rabies Risk,Euthanasia,Raccoon
777,Normal,Owner Surrender,Partner,Transfer,Guinea Pig
778,Normal,Stray,Partner,Transfer,Rabbit Sh Mix
779,Normal,Stray,Partner,Transfer,Rabbit Sh Mix
780,Normal,Stray,Partner,Transfer,Rabbit Sh Mix
781,Normal,Stray,Partner,Transfer,Rabbit Sh Mix
782,Normal,Stray,Partner,Transfer,Rabbit Sh Mix
783,Normal,Stray,Partner,Transfer,Lop-English Mix
784,Sick,Wildlife,Rabies Risk,Euthanasia,Raccoon Mix
785,Normal,Stray,None,Return to Owner,Lop-English Mix
786,Sick,Wildlife,Medical,Euthanasia,Fox Mix
787,Sick,Wildlife,Rabies Risk,Euthanasia,Raccoon Mix
788,Sick,Wildlife,Rabies Risk,Euthanasia,Raccoon Mix
789,Injured,Wildlife,Suffering,Euthanasia,Opossum
790,Sick,Wildlife,Rabies Risk,Euthanasia,Fox
791,Normal,Wildlife,Rabies Risk,Euthanasia,Bat Mix
792,Normal,Wildlife,Rabies Risk,Euthanasia,Raccoon Mix
793,Normal,Wildlife,Rabies Risk,Euthanasia,Bat Mix
794,Sick,Wildlife,Medical,Euthanasia,Raccoon Mix
795,Normal,Wildlife,Rabies Risk,Euthanasia,Bat
796,Normal,Wildlife,Rabies Risk,Euthanasia,Bat
797,Normal,Wildlife,Rabies Risk,Euthanasia,Bat
798,Normal,Wildlife,Rabies Risk,Euthanasia,Bat Mix
799,Normal,Stray,Partner,Transfer,Rabbit Sh Mix
800,Injured,Public Assist,None,Euthanasia,Bat
801,Injured,Wildlife,Rabies Risk,Euthanasia,Raccoon Mix
802,Normal,Wildlife,None,Disposal,Bat Mix
803,Sick,Wildlife,Suffering,Euthanasia,Raccoon Mix
804,Sick,Wildlife,Suffering,Euthanasia,Raccoon Mix
805,Normal,Stray,Partner,Transfer,Rex Mix
806,Normal,Wildlife,None,Disposal,Bat
807,Injured,Wildlife,Rabies Risk,Euthanasia,Skunk Mix
808,Sick,Wildlife,Suffering,Euthanasia,Raccoon Mix
809,Sick,Wildlife,Suffering,Euthanasia,Raccoon Mix
810,Injured,Wildlife,Suffering,Euthanasia,Raccoon Mix
811,Sick,Wildlife,Rabies Risk,Euthanasia,Raccoon Mix
812,Normal,Stray,Partner,Transfer,Parakeet Mix
813,Sick,Wildlife,Suffering,Euthanasia,Raccoon Mix
814,Injured,Stray,Partner,Transfer,Rabbit Sh Mix
815,Sick,Wildlife,Suffering,Euthanasia,Raccoon Mix
816,Injured,Stray,Suffering,Euthanasia,Rabbit Sh Mix
817,Normal,Wildlife,None,Relocate,Raccoon Mix
818,Normal,Wildlife,Rabies Risk,Euthanasia,Bat Mix
819,Sick,Wildlife,Rabies Risk,Euthanasia,Raccoon Mix
820,Normal,Public Assist,Rabies Risk,Euthanasia,Bat
821,Normal,Wildlife,Rabies Risk,Euthanasia,Bat Mix
822,Normal,Wildlife,Rabies Risk,Euthanasia,Bat Mix
823,Sick,Wildlife,Rabies Risk,Euthanasia,Raccoon Mix
824,Injured,Wildlife,Rabies Risk,Euthanasia,Bat Mix
825,Injured,Wildlife,Rabies Risk,Euthanasia,Bat Mix
826,Normal,Wildlife,Rabies Risk,Euthanasia,Bat Mix
827,Normal,Wildlife,Rabies Risk,Euthanasia,Bat
828,Sick,Wildlife,Suffering,Euthanasia,Raccoon
829,Normal,Wildlife,Rabies Risk,Euthanasia,Bat Mix
830,Injured,Wildlife,Suffering,Euthanasia,Opossum Mix
831,Normal,Wildlife,Rabies Risk,Euthanasia,Bat
832,Injured,Wildlife,Rabies Risk,Euthanasia,Raccoon Mix
833,Normal,Stray,None,Adoption,Lovebird Mix
834,Sick,Wildlife,Suffering,Euthanasia,Raccoon
835,Sick,Wildlife,Suffering,Euthanasia,Raccoon
836,Sick,Wildlife,Rabies Risk,Euthanasia,Bat Mix
837,Normal,Wildlife,Rabies Risk,Euthanasia,Bat Mix
838,Sick,Wildlife,Rabies Risk,Euthanasia,Opossum Mix
839,Sick,Wildlife,Rabies Risk,Euthanasia,Raccoon Mix
840,Sick,Wildlife,Rabies Risk,Euthanasia,Raccoon Mix
841,Injured,Wildlife,Suffering,Euthanasia,Raccoon Mix
842,Sick,Wildlife,Suffering,Euthanasia,Raccoon Mix
843,Normal,Stray,Partner,Transfer,Goat Mix
844,Normal,Wildlife,Rabies Risk,Euthanasia,Bat
845,Normal,Stray,None,Adoption,Lionhead Mix
846,Normal,Owner Surrender,Partner,Transfer,Lionhead Mix
847,Normal,Stray,None,Return to Owner,Tortoise Mix
848,Normal,Wildlife,Rabies Risk,Euthanasia,Bat Mix
849,Injured,Wildlife,Rabies Risk,Euthanasia,Bat
850,Normal,Wildlife,Rabies Risk,Euthanasia,Raccoon Mix
851,Normal,Wildlife,In Kennel,Died,Bat
852,Injured,Stray,None,Adoption,Parrot Mix
853,Sick,Wildlife,Rabies Risk,Euthanasia,Bat Mix
854,Sick,Wildlife,Suffering,Euthanasia,Raccoon
855,Normal,Wildlife,Rabies Risk,Euthanasia,Bat Mix
856,Sick,Public Assist,None,Euthanasia,Raccoon Mix
857,Injured,Wildlife,Rabies Risk,Euthanasia,Bat Mix
858,Normal,Wildlife,Rabies Risk,Euthanasia,Bat Mix
859,Sick,Wildlife,Suffering,Euthanasia,Raccoon
860,Normal,Wildlife,Rabies Risk,Euthanasia,Bat
861,Normal,Wildlife,None,Died,Bat
862,Normal,Wildlife,None,Died,Bat
863,Normal,Wildlife,None,Died,Bat Mix
864,Normal,Wildlife,None,Died,Bat Mix
865,Normal,Wildlife,None,Disposal,Bat Mix
866,Sick,Wildlife,Suffering,Euthanasia,Raccoon
867,Normal,Wildlife,Rabies Risk,Euthanasia,Bat
868,Injured,Wildlife,Medical,Euthanasia,Opossum
869,Injured,Wildlife,Medical,Euthanasia,Opossum
870,Injured,Wildlife,Suffering,Euthanasia,Opossum
871,Injured,Wildlife,None,Euthanasia,Bat Mix
872,Nursing,Wildlife,Rabies Risk,Euthanasia,Raccoon
873,Normal,Wildlife,Rabies Risk,Euthanasia,Bat
874,Normal,Wildlife,Rabies Risk,Euthanasia,Bat
875,Sick,Wildlife,Rabies Risk,Euthanasia,Raccoon Mix
876,Normal,Wildlife,Rabies Risk,Euthanasia,Bat
877,Normal,Wildlife,Partner,Transfer,Rabbit Sh Mix
878,Normal,Wildlife,Rabies Risk,Euthanasia,Bat
879,Normal,Owner Surrender,Partner,Transfer,Lionhead Mix
880,Normal,Owner Surrender,Partner,Transfer,Lionhead Mix
881,Injured,Wildlife,Rabies Risk,Euthanasia,Armadillo
882,Sick,Wildlife,Rabies Risk,Euthanasia,Bat Mix
