Shelter,Category,Sub-Category,Jun-15,Jun-14,YTD Fiscal 14/15,YTD Fiscal 13/14
Harbor Shelter,Spay/Neuter Surgeries by LAAS Vets,Dogs,0,0,8,520
Harbor Shelter,Spay/Neuter Surgeries by LAAS Vets,Rabbits,0,0,0,0
North Central Shelter,Spay/Neuter Surgeries by LAAS Vets,Cats,42,48,338,365
North Central Shelter,Spay/Neuter Surgeries by LAAS Vets,Dogs,41,32,727,841
North Central Shelter,Spay/Neuter Surgeries by LAAS Vets,Rabbits,0,1,11,6
South LA,Spay/Neuter Surgeries by LAAS Vets,Cats,8,25,209,324
South LA,Spay/Neuter Surgeries by LAAS Vets,Dogs,3,8,244,435
South LA,Spay/Neuter Surgeries by LAAS Vets,Rabbits,0,0,0,7
West LA,Spay/Neuter Surgeries by LAAS Vets,Cats,57,35,373,265
West LA,Spay/Neuter Surgeries by LAAS Vets,Dogs,19,17,385,416
West LA,Spay/Neuter Surgeries by LAAS Vets,Rabbits,0,0,2,2
West Valley,Spay/Neuter Surgeries by LAAS Vets,Cats,82,71,476,596
West Valley,Spay/Neuter Surgeries by LAAS Vets,Dogs,37,45,643,550
West Valley,Spay/Neuter Surgeries by LAAS Vets,Rabbits,15,10,104,81
Admin,Spay/Neuter Vouchers Issued / Redeemed,$30 Vouchers Issued,584,289,5169,2851
Admin,Spay/Neuter Vouchers Issued / Redeemed,$70 Vouchers Issued,296,379,4152,5350
Admin,Spay/Neuter Vouchers Issued / Redeemed,$30 Vouchers Redeemed,395,144,3189,1950
Admin,Spay/Neuter Vouchers Issued / Redeemed,$70 Vouchers Redeemed,286,360,3220,4188
East Valley Shelter,Volunteers,#  of Volunteers ,756,629,0,0
East Valley Shelter,Volunteers,# of Volunteer Hrs Worked,942,197,7291,10079
East Valley Shelter,Volunteers,# of Orientations,1,1,10,12
East Valley Shelter,Volunteers,# attended,6,15,126,198
Harbor Shelter,Volunteers,#  of Volunteers ,403,325,0,0
Harbor Shelter,Volunteers,# of Volunteer Hrs Worked,649,819,6959,8780
Harbor Shelter,Volunteers,# of Orientations,1,4,1,11
Harbor Shelter,Volunteers,# attended,6,12,76,95
North Central Shelter,Volunteers,#  of Volunteers ,1099,871,0,0
North Central Shelter,Volunteers,# of Volunteer Hrs Worked,626,673,6322,7580
North Central Shelter,Volunteers,# of Orientations,1,1,11,13
North Central Shelter,Volunteers,# attended,15,13,169,191
South LA,Volunteers,#  of Volunteers ,468,1045,0,0
South LA,Volunteers,# of Volunteer Hrs Worked,473,4154,9100,12465
South LA,Volunteers,# of Orientations,1,4,10,12
South LA,Volunteers,# attended,12,26,168,235
West LA,Volunteers,#  of Volunteers ,628,1045,0,0
West LA,Volunteers,# of Volunteer Hrs Worked,1015,1021,9100,12468
West LA,Volunteers,# of Orientations,1,1,10,12
West LA,Volunteers,# attended,12,26,168,235
West Valley,Volunteers,#  of Volunteers ,736,618,0,0
West Valley,Volunteers,# of Volunteer Hrs Worked,598,834,5065,12587
West Valley,Volunteers,# of Orientations,1,1,44,12
West Valley,Volunteers,# attended,8,18,181,184
